user_id,id_student,code_module,code_presentation,final_result,gender,age,ufv_field,ufv_course_code,ufv_course_name,ufv_level,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability
user0713,23629,EEE,2014B,Distinction,F,20,Computer science,comp210,comp210 - Machine Learning,Medium,A Level or Equivalent,0-10%,0,60,N
user3745,585603,BBB,2013J,Pass,F,19,Computer science,comp125,comp125 - Algorithms,Beginner,A Level or Equivalent,50-60%,0,60,N
user0788,154027,EEE,2014J,Pass,M,27,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,A Level or Equivalent,60-70%,0,30,N
user3944,593709,FFF,2013J,Withdrawn,F,29,Creative Arts and Design,arts135,arts135 - Typography,Beginner,A Level or Equivalent,10-20,0,120,N
user5036,533210,DDD,2013J,Withdrawn,F,20,Creative Arts and Design,arts260,arts260 - Portfolio Studio,Medium,A Level or Equivalent,50-60%,1,60,N
user1248,490110,EEE,2013J,Fail,F,21,Business and Management,bus285,bus285 - Business Law,Medium,A Level or Equivalent,90-100%,0,150,N
user3250,551628,BBB,2013J,Pass,F,25,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,0-10%,0,120,Y
user2877,445760,CCC,2014J,Pass,F,35,Computer science,comp285,comp285 - Cloud Computing,Medium,A Level or Equivalent,70-80%,0,90,N
user0022,91265,AAA,2013J,Distinction,F,26,Creative Arts and Design,arts210,arts210 - Photography,Medium,HE Qualification,0-10%,0,60,N
user2783,389101,BBB,2013J,Pass,F,21,Computer science,comp135,comp135 - Databases,Beginner,A Level or Equivalent,80-90%,0,60,N
user8445,107028,FFF,2013J,Pass,F,31,Computer science,comp275,comp275 - Computer Security,Medium,Lower Than A Level,10-20,0,90,N
user0642,1926668,AAA,2014J,Pass,F,19,Creative Arts and Design,arts135,arts135 - Typography,Beginner,Lower Than A Level,30-40%,0,60,N
user0819,203108,GGG,2014B,Pass,F,26,Business and Management,bus230,bus230 - Entrepreneurship,Medium,Lower Than A Level,80-90%,0,60,N
user6535,520076,BBB,2014J,Withdrawn,F,22,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,0-10%,0,120,N
user0046,135400,DDD,2013B,Pass,F,20,History and Culture,hist360,hist360 - Cultural Studies,Senior,A Level or Equivalent,40-50%,0,60,N
user3135,525974,FFF,2013J,Distinction,F,22,Business and Management,bus135,bus135 - Organizational Behavior,Beginner,A Level or Equivalent,90-100%,0,90,N
user5259,591725,FFF,2014B,Pass,F,19,Media and Communications,media115,media115 - Media Writing,Beginner,A Level or Equivalent,80-90%,0,90,N
user5511,618670,BBB,2014B,Distinction,F,19,Business and Management,bus300,bus300 - HR Management,Senior,A Level or Equivalent,10-20,0,60,N
user5145,567048,BBB,2014B,Distinction,F,20,Business and Management,bus275,bus275 - Supply Chain,Medium,A Level or Equivalent,80-90%,0,60,N
user0636,1721270,EEE,2014J,Pass,F,26,History and Culture,hist275,hist275 - Ancient Civilizations,Medium,HE Qualification,80-90%,1,60,N
user4770,289993,BBB,2014B,Withdrawn,F,20,Creative Arts and Design,arts210,arts210 - Photography,Medium,HE Qualification,10-20,0,120,N
user2664,301583,FFF,2013B,Fail,F,19,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,10-20,0,60,N
user3552,576946,CCC,2014J,Withdrawn,F,25,Media and Communications,media115,media115 - Media Writing,Beginner,A Level or Equivalent,60-70%,0,150,N
user8270,1926542,BBB,2014J,Withdrawn,F,18,Business and Management,bus115,bus115 - Financial Accounting,Beginner,Post Graduate Qualification,80-90%,0,60,N
user2087,554818,CCC,2014J,Distinction,F,26,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,HE Qualification,80-90%,0,60,N
user5116,561060,FFF,2013J,Withdrawn,F,18,Business and Management,bus240,bus240 - Strategic Management,Medium,No Formal quals,20-30%,0,120,N
user3344,564972,CCC,2014J,Pass,F,26,Media and Communications,media275,media275 - Brand Storytelling,Medium,Lower Than A Level,40-50%,0,60,N
user0501,329659,EEE,2013J,Pass,F,22,Creative Arts and Design,arts300,arts300 - UX Design,Senior,A Level or Equivalent,70-80%,0,120,Y
user1829,545896,FFF,2013B,Pass,F,22,Business and Management,bus230,bus230 - Entrepreneurship,Medium,A Level or Equivalent,90-100%,0,60,N
user5992,633912,FFF,2014B,Pass,F,18,History and Culture,hist285,hist285 - Medieval Worlds,Medium,A Level or Equivalent,30-40%,0,90,N
user1840,546428,FFF,2013B,Pass,F,21,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,A Level or Equivalent,50-60%,1,150,N
user6602,560089,DDD,2014B,Pass,F,22,Computer science,comp320,comp320 - Intro to Programming,Senior,Lower Than A Level,60-70%,1,60,N
user2676,307230,CCC,2014J,Fail,F,23,Media and Communications,media240,media240 - Podcasting,Medium,Post Graduate Qualification,,0,60,N
user7002,636302,FFF,2014J,Pass,F,18,Computer science,comp155,comp155 - Operating Systems,Beginner,A Level or Equivalent,90-100%,0,120,N
user2223,558747,EEE,2014J,Pass,F,24,Computer science,comp125,comp125 - Algorithms,Beginner,Lower Than A Level,50-60%,0,90,N
user6202,47891,FFF,2014B,Distinction,F,19,Business and Management,bus340,bus340 - Financial Accounting,Senior,HE Qualification,60-70%,0,90,N
user7076,643172,DDD,2014B,Pass,F,31,Media and Communications,media125,media125 - Public Speaking,Beginner,Lower Than A Level,50-60%,0,60,N
user0023,94961,AAA,2014J,Fail,F,32,Business and Management,bus115,bus115 - Financial Accounting,Beginner,Lower Than A Level,70-80%,1,60,N
user0316,2412967,FFF,2013J,Pass,F,20,Computer science,comp155,comp155 - Operating Systems,Beginner,A Level or Equivalent,70-80%,0,90,N
user2983,497130,BBB,2013J,Withdrawn,F,18,Media and Communications,media115,media115 - Media Writing,Beginner,Lower Than A Level,80-90%,0,60,N
user8492,167791,EEE,2014B,Fail,F,21,History and Culture,hist175,hist175 - Indigenous Histories,Beginner,A Level or Equivalent,20-30%,0,60,N
user7497,674290,BBB,2014J,Pass,F,26,Business and Management,bus285,bus285 - Business Law,Medium,A Level or Equivalent,80-90%,0,60,N
user8389,2660510,BBB,2014J,Pass,F,20,Business and Management,bus135,bus135 - Organizational Behavior,Beginner,Lower Than A Level,0-10%,0,60,Y
user0390,52765,EEE,2013J,Fail,F,27,Computer science,comp340,comp340 - Data Structures,Senior,HE Qualification,50-60%,0,30,Y
user8991,523061,CCC,2014B,Fail,F,22,Media and Communications,media105,media105 - Communication Strategies,Beginner,A Level or Equivalent,0-10%,0,120,N
user0753,94616,EEE,2014J,Fail,F,28,Creative Arts and Design,arts285,arts285 - Game Art,Medium,Lower Than A Level,30-40%,0,60,N
user0780,145544,GGG,2014B,Fail,F,26,Media and Communications,media105,media105 - Communication Strategies,Beginner,Lower Than A Level,10-20,0,30,N
user1710,540767,GGG,2014J,Pass,F,20,Business and Management,bus260,bus260 - Project Management,Medium,Lower Than A Level,50-60%,0,30,N
user0424,149741,DDD,2013J,Pass,F,22,Computer science,comp155,comp155 - Operating Systems,Beginner,Lower Than A Level,20-30%,0,90,N
user2031,552749,CCC,2014J,Pass,F,19,Business and Management,bus175,bus175 - Business Analytics,Beginner,A Level or Equivalent,70-80%,0,210,N
user0245,1465690,EEE,2013J,Withdrawn,F,28,History and Culture,hist230,hist230 - Asian Civilizations,Medium,HE Qualification,40-50%,0,60,N
user7884,688638,BBB,2014J,Distinction,F,19,Business and Management,bus320,bus320 - Principles of Management,Senior,Lower Than A Level,70-80%,0,60,N
user3811,588191,FFF,2013J,Pass,F,18,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,HE Qualification,20-30%,0,60,N
user4536,2083576,BBB,2013J,Pass,F,26,Media and Communications,media175,media175 - Visual Communication,Beginner,Lower Than A Level,40-50%,0,60,N
user1582,534217,BBB,2013B,Pass,F,23,Computer science,comp285,comp285 - Cloud Computing,Medium,Lower Than A Level,20-30%,0,60,N
user5063,545146,BBB,2014B,Pass,F,18,Business and Management,bus125,bus125 - Marketing Basics,Beginner,A Level or Equivalent,80-90%,0,60,N
user0857,265958,CCC,2014B,Fail,M,18,Media and Communications,media175,media175 - Visual Communication,Beginner,HE Qualification,,0,30,N
user0014,62155,AAA,2013J,Distinction,F,20,History and Culture,hist210,hist210 - Middle East History,Medium,HE Qualification,50-60%,0,60,N
user3436,572103,CCC,2014J,Withdrawn,F,19,Computer science,comp260,comp260 - Distributed Systems,Medium,HE Qualification,80-90%,0,60,N
user5902,631082,FFF,2014B,Pass,F,18,Business and Management,bus360,bus360 - Marketing Basics,Senior,A Level or Equivalent,0-10%,0,60,N
user0212,498857,EEE,2013J,Pass,F,19,Media and Communications,media240,media240 - Podcasting,Medium,Lower Than A Level,70-80%,0,135,N
user7343,652553,BBB,2014J,Fail,F,20,History and Culture,hist340,hist340 - Canadian History,Senior,A Level or Equivalent,20-30%,0,60,N
user0099,240884,AAA,2013J,Fail,F,32,Computer science,comp175,comp175 - Computer Networks,Beginner,A Level or Equivalent,90-100%,0,120,N
user8806,445972,GGG,2013J,Distinction,F,21,History and Culture,hist275,hist275 - Ancient Civilizations,Medium,Lower Than A Level,70-80%,0,30,N
user1543,531464,GGG,2014J,Fail,M,18,Business and Management,bus155,bus155 - Operations Management,Beginner,A Level or Equivalent,40-50%,0,30,N
user3316,561674,BBB,2014B,Pass,F,18,Computer science,comp125,comp125 - Algorithms,Beginner,Lower Than A Level,60-70%,1,120,N
user3522,575423,CCC,2014J,Distinction,F,21,Computer science,comp210,comp210 - Machine Learning,Medium,A Level or Equivalent,40-50%,0,60,N
user7919,689333,DDD,2014J,Pass,F,18,Computer science,comp125,comp125 - Algorithms,Beginner,A Level or Equivalent,40-50%,0,60,N
user6705,582898,DDD,2014B,Pass,F,18,Computer science,comp260,comp260 - Distributed Systems,Medium,Lower Than A Level,40-50%,0,60,N
user4998,507009,DDD,2013J,Pass,F,18,Business and Management,bus285,bus285 - Business Law,Medium,HE Qualification,80-90%,0,60,N
user2395,2422639,DDD,2013J,Pass,F,20,Computer science,comp105,comp105 - Intro to Programming,Beginner,A Level or Equivalent,20-30%,0,60,N
user1407,513368,CCC,2014J,Distinction,F,18,Business and Management,bus240,bus240 - Strategic Management,Medium,HE Qualification,20-30%,0,30,Y
user8705,385120,DDD,2014J,Pass,M,22,Business and Management,bus300,bus300 - HR Management,Senior,A Level or Equivalent,90-100%,0,60,N
user7750,683947,FFF,2014J,Distinction,F,23,Computer science,comp260,comp260 - Distributed Systems,Medium,A Level or Equivalent,90-100%,0,60,N
user4266,605691,FFF,2013J,Withdrawn,F,18,Media and Communications,media115,media115 - Media Writing,Beginner,HE Qualification,70-80%,0,120,N
user4380,610362,FFF,2013J,Pass,F,20,Computer science,comp115,comp115 - Data Structures,Beginner,A Level or Equivalent,30-40%,0,150,N
user4123,600370,BBB,2013J,Pass,F,22,Computer science,comp320,comp320 - Intro to Programming,Senior,HE Qualification,70-80%,0,120,N
user3403,570168,BBB,2013J,Fail,F,30,Computer science,comp115,comp115 - Data Structures,Beginner,No Formal quals,30-40%,0,90,N
user3416,571143,FFF,2013J,Pass,F,22,Business and Management,bus135,bus135 - Organizational Behavior,Beginner,HE Qualification,40-50%,1,60,N
user0523,371710,CCC,2014B,Pass,F,26,Computer science,comp115,comp115 - Data Structures,Beginner,A Level or Equivalent,90-100%,0,60,N
user5053,539675,BBB,2014B,Pass,F,25,Creative Arts and Design,arts135,arts135 - Typography,Beginner,Lower Than A Level,30-40%,1,120,N
user1158,472182,GGG,2014J,Pass,F,23,Media and Communications,media135,media135 - Digital Journalism,Beginner,No Formal quals,90-100%,2,30,N
user0329,2482700,GGG,2014B,Withdrawn,M,26,Computer science,comp240,comp240 - Web Development,Medium,Lower Than A Level,0-10%,0,30,N
user2998,500625,CCC,2014J,Fail,F,35,Creative Arts and Design,arts360,arts360 - Digital Media,Senior,Lower Than A Level,70-80%,0,60,N
user5015,518711,DDD,2013J,Distinction,F,18,Media and Communications,media155,media155 - Social Media,Beginner,A Level or Equivalent,90-100%,0,60,N
user4904,429099,BBB,2014B,Withdrawn,F,19,Creative Arts and Design,arts275,arts275 - Illustration,Medium,A Level or Equivalent,40-50%,2,90,N
user1760,542745,FFF,2013B,Fail,F,18,Creative Arts and Design,arts275,arts275 - Illustration,Medium,Lower Than A Level,90-100%,1,60,N
user4261,605494,DDD,2013B,Pass,F,18,Business and Management,bus175,bus175 - Business Analytics,Beginner,A Level or Equivalent,60-70%,0,75,N
user7978,691514,DDD,2014J,Withdrawn,F,19,Computer science,comp260,comp260 - Distributed Systems,Medium,A Level or Equivalent,10-20,0,60,N
user1443,518876,CCC,2014J,Distinction,F,24,Computer science,comp175,comp175 - Computer Networks,Beginner,A Level or Equivalent,40-50%,0,60,N
user2167,557057,BBB,2013B,Fail,F,20,Business and Management,bus285,bus285 - Business Law,Medium,Lower Than A Level,40-50%,0,60,N
user6433,439806,DDD,2014B,Withdrawn,F,20,History and Culture,hist260,hist260 - Historiography,Medium,Lower Than A Level,10-20,1,180,N
user5898,630957,DDD,2013J,Pass,F,18,Media and Communications,media105,media105 - Communication Strategies,Beginner,HE Qualification,60-70%,0,60,N
user8572,266915,GGG,2013J,Pass,F,24,Media and Communications,media240,media240 - Podcasting,Medium,Lower Than A Level,50-60%,0,30,N
user1565,532928,CCC,2014J,Pass,F,21,History and Culture,hist230,hist230 - Asian Civilizations,Medium,HE Qualification,30-40%,0,60,N
user2002,551716,BBB,2013B,Pass,F,18,Computer science,comp340,comp340 - Data Structures,Senior,HE Qualification,70-80%,0,60,N
user0203,429958,CCC,2014B,Fail,F,19,History and Culture,hist175,hist175 - Indigenous Histories,Beginner,Lower Than A Level,0-10%,0,60,N
user2263,560170,CCC,2014J,Withdrawn,F,20,Computer science,comp155,comp155 - Operating Systems,Beginner,A Level or Equivalent,0-10%,0,30,N
user1164,475095,BBB,2013B,Pass,M,33,Business and Management,bus300,bus300 - HR Management,Senior,A Level or Equivalent,20-30%,0,60,N
user8687,371901,GGG,2013J,Distinction,F,24,Business and Management,bus275,bus275 - Supply Chain,Medium,A Level or Equivalent,70-80%,0,30,N
user5673,625024,DDD,2013J,Pass,F,22,Creative Arts and Design,arts340,arts340 - Drawing I,Senior,A Level or Equivalent,70-80%,0,60,N
user4498,1726951,FFF,2013J,Pass,F,19,Computer science,comp260,comp260 - Distributed Systems,Medium,A Level or Equivalent,80-90%,0,120,N
user1048,406311,BBB,2013B,Pass,F,21,Business and Management,bus300,bus300 - HR Management,Senior,No Formal quals,30-40%,0,60,N
user3191,536852,CCC,2014J,Pass,F,35,Business and Management,bus320,bus320 - Principles of Management,Senior,A Level or Equivalent,10-20,0,60,N
user3686,583012,DDD,2013B,Withdrawn,F,20,Business and Management,bus125,bus125 - Marketing Basics,Beginner,HE Qualification,90-100%,0,60,N
user0115,277880,GGG,2013J,Pass,M,19,Creative Arts and Design,arts320,arts320 - Design Fundamentals,Senior,Lower Than A Level,20-30%,0,30,Y
user5361,610759,BBB,2014B,Distinction,F,26,Creative Arts and Design,arts300,arts300 - UX Design,Senior,HE Qualification,60-70%,1,120,N
user6390,395169,DDD,2013J,Fail,F,19,Business and Management,bus260,bus260 - Project Management,Medium,HE Qualification,70-80%,0,60,N
user5141,565869,DDD,2013J,Pass,F,23,Computer science,comp115,comp115 - Data Structures,Beginner,Lower Than A Level,30-40%,0,60,N
user1578,533996,GGG,2014J,Withdrawn,F,18,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,0-10%,0,30,N
user4034,596820,DDD,2013B,Withdrawn,F,23,Computer science,comp300,comp300 - Data Mining,Senior,A Level or Equivalent,80-90%,0,120,N
user6423,424586,BBB,2014J,Pass,F,25,Business and Management,bus105,bus105 - Principles of Management,Beginner,A Level or Equivalent,20-30%,0,120,N
user7509,674643,DDD,2014J,Pass,F,18,Computer science,comp135,comp135 - Databases,Beginner,A Level or Equivalent,0-10%,0,60,Y
user5532,619471,DDD,2013J,Pass,F,30,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,70-80%,0,60,N
user1996,551601,CCC,2014J,Pass,F,24,Business and Management,bus275,bus275 - Supply Chain,Medium,Lower Than A Level,,0,30,N
user2492,48040,FFF,2014B,Pass,F,35,Creative Arts and Design,arts240,arts240 - Motion Graphics,Medium,A Level or Equivalent,90-100%,0,60,N
user0857,265958,GGG,2014B,Distinction,M,18,Media and Communications,media230,media230 - PR Fundamentals,Medium,Lower Than A Level,20-30%,0,30,N
user7376,653385,DDD,2014J,Distinction,F,24,Business and Management,bus155,bus155 - Operations Management,Beginner,HE Qualification,70-80%,0,120,N
user1522,529446,BBB,2013B,Pass,F,32,Business and Management,bus340,bus340 - Financial Accounting,Senior,Lower Than A Level,40-50%,0,60,N
user6775,595850,DDD,2014B,Pass,F,25,Business and Management,bus300,bus300 - HR Management,Senior,A Level or Equivalent,70-80%,0,60,N
user5237,587524,DDD,2013J,Withdrawn,F,28,Business and Management,bus275,bus275 - Supply Chain,Medium,Lower Than A Level,0-10%,0,60,N
user0742,84245,EEE,2014J,Pass,F,22,Media and Communications,media115,media115 - Media Writing,Beginner,HE Qualification,60-70%,0,150,N
user6690,579161,DDD,2014B,Pass,F,23,Creative Arts and Design,arts360,arts360 - Digital Media,Senior,Lower Than A Level,70-80%,0,60,N
user0005,32885,CCC,2014B,Pass,F,23,History and Culture,hist300,hist300 - Global Migrations,Senior,HE Qualification,20-30%,0,90,N
user8293,2177423,DDD,2014J,Withdrawn,F,27,Creative Arts and Design,arts230,arts230 - Interaction Design,Medium,A Level or Equivalent,10-20,0,120,N
user1598,534908,CCC,2014J,Pass,F,29,Business and Management,bus240,bus240 - Strategic Management,Medium,HE Qualification,50-60%,0,60,N
user6543,523831,BBB,2014J,Distinction,F,30,Computer science,comp230,comp230 - Software Engineering,Medium,A Level or Equivalent,70-80%,0,60,N
user3214,543279,FFF,2013J,Fail,F,28,Business and Management,bus360,bus360 - Marketing Basics,Senior,Lower Than A Level,10-20,0,60,N
user2442,2571447,EEE,2014J,Pass,F,28,Computer science,comp105,comp105 - Intro to Programming,Beginner,A Level or Equivalent,10-20,0,60,N
user6214,73584,FFF,2014B,Fail,F,31,Media and Communications,media360,media360 - Public Speaking,Senior,HE Qualification,80-90%,0,60,N
user7198,648487,BBB,2014J,Pass,F,23,Media and Communications,media135,media135 - Digital Journalism,Beginner,Lower Than A Level,80-90%,0,60,N
user8953,512475,CCC,2014B,Distinction,M,19,Computer science,comp155,comp155 - Operating Systems,Beginner,Post Graduate Qualification,90-100%,0,30,N
user0115,277880,EEE,2013J,Distinction,M,19,Creative Arts and Design,arts300,arts300 - UX Design,Senior,A Level or Equivalent,10-20,0,60,N
user7120,646133,FFF,2014J,Distinction,F,19,Creative Arts and Design,arts340,arts340 - Drawing I,Senior,A Level or Equivalent,60-70%,0,60,N
user6644,572395,BBB,2014J,Pass,F,19,Business and Management,bus115,bus115 - Financial Accounting,Beginner,A Level or Equivalent,40-50%,0,60,N
user1054,411197,EEE,2014J,Fail,F,21,Business and Management,bus155,bus155 - Operations Management,Beginner,A Level or Equivalent,20-30%,0,60,N
user7799,685812,FFF,2014J,Pass,F,32,Media and Communications,media300,media300 - Content Strategy,Senior,A Level or Equivalent,20-30%,0,60,N
user1112,441181,DDD,2013J,Pass,M,28,History and Culture,hist285,hist285 - Medieval Worlds,Medium,HE Qualification,80-90%,0,90,N
user0946,351543,EEE,2014J,Pass,F,31,History and Culture,hist155,hist155 - History of Science,Beginner,Lower Than A Level,80-90%,0,90,N
user2850,432144,BBB,2013J,Distinction,F,20,Media and Communications,media125,media125 - Public Speaking,Beginner,A Level or Equivalent,60-70%,0,60,N
user4372,609864,FFF,2013J,Distinction,F,20,Business and Management,bus115,bus115 - Financial Accounting,Beginner,Lower Than A Level,70-80%,0,60,N
user4112,599840,DDD,2013B,Pass,F,18,Business and Management,bus260,bus260 - Project Management,Medium,A Level or Equivalent,20-30%,0,60,N
user2986,498543,CCC,2014J,Distinction,F,19,Media and Communications,media240,media240 - Podcasting,Medium,A Level or Equivalent,30-40%,0,150,N
user7165,647807,DDD,2014B,Pass,F,20,Computer science,comp135,comp135 - Databases,Beginner,Lower Than A Level,20-30%,0,60,N
user7488,656990,FFF,2014J,Distinction,F,20,History and Culture,hist360,hist360 - Cultural Studies,Senior,Lower Than A Level,90-100%,0,120,Y
user2067,554206,CCC,2014J,Pass,F,21,Business and Management,bus175,bus175 - Business Analytics,Beginner,Lower Than A Level,80-90%,0,30,N
user4778,297179,BBB,2014J,Distinction,F,18,Business and Management,bus115,bus115 - Financial Accounting,Beginner,Lower Than A Level,50-60%,1,60,N
user4343,608578,DDD,2013B,Pass,F,19,History and Culture,hist230,hist230 - Asian Civilizations,Medium,A Level or Equivalent,20-30%,0,60,N
user7555,676705,BBB,2014J,Withdrawn,F,23,Computer science,comp300,comp300 - Data Mining,Senior,A Level or Equivalent,40-50%,0,60,N
user1010,388205,BBB,2013B,Pass,F,27,Media and Communications,media340,media340 - Media Writing,Senior,A Level or Equivalent,10-20,0,120,N
user3326,563706,CCC,2014J,Pass,F,31,Business and Management,bus135,bus135 - Organizational Behavior,Beginner,A Level or Equivalent,20-30%,0,90,N
user7080,643587,DDD,2014B,Pass,F,22,Computer science,comp155,comp155 - Operating Systems,Beginner,HE Qualification,50-60%,0,60,N
user0867,273877,EEE,2014J,Withdrawn,F,21,Computer science,comp115,comp115 - Data Structures,Beginner,A Level or Equivalent,40-50%,0,60,N
user2898,472262,CCC,2014J,Withdrawn,F,21,Business and Management,bus340,bus340 - Financial Accounting,Senior,Lower Than A Level,70-80%,0,60,N
user4866,388041,BBB,2014B,Pass,F,24,Creative Arts and Design,arts300,arts300 - UX Design,Senior,A Level or Equivalent,60-70%,2,120,N
user1310,500815,BBB,2013B,Distinction,F,24,History and Culture,hist125,hist125 - Cultural Studies,Beginner,A Level or Equivalent,,0,60,N
user4063,598199,BBB,2013J,Fail,F,22,Computer science,comp320,comp320 - Intro to Programming,Senior,A Level or Equivalent,0-10%,0,120,N
user8545,241955,DDD,2014J,Distinction,F,18,Creative Arts and Design,arts260,arts260 - Portfolio Studio,Medium,Lower Than A Level,70-80%,0,60,N
user0150,324084,GGG,2013J,Distinction,F,34,Business and Management,bus340,bus340 - Financial Accounting,Senior,Lower Than A Level,20-30%,0,30,N
user2318,1574398,EEE,2013J,Pass,F,20,Computer science,comp115,comp115 - Data Structures,Beginner,HE Qualification,80-90%,0,30,N
user0461,274947,AAA,2014J,Pass,F,22,Creative Arts and Design,arts300,arts300 - UX Design,Senior,Lower Than A Level,40-50%,0,120,N
user1660,537473,GGG,2014J,Withdrawn,F,19,Computer science,comp125,comp125 - Algorithms,Beginner,Lower Than A Level,10-20,0,30,N
user2906,476278,BBB,2013J,Withdrawn,F,18,Creative Arts and Design,arts210,arts210 - Photography,Medium,HE Qualification,70-80%,0,60,N
user1187,478444,EEE,2014J,Distinction,F,32,Media and Communications,media230,media230 - PR Fundamentals,Medium,HE Qualification,10-20,0,60,N
user6086,1933555,FFF,2014B,Pass,F,23,History and Culture,hist155,hist155 - History of Science,Beginner,Lower Than A Level,80-90%,0,60,N
user8429,75469,GGG,2013J,Pass,F,21,Computer science,comp125,comp125 - Algorithms,Beginner,Lower Than A Level,10-20,0,90,N
user6160,2541388,BBB,2014B,Fail,F,28,Business and Management,bus125,bus125 - Marketing Basics,Beginner,Lower Than A Level,60-70%,0,60,N
